2025-02-10 17:09:47,373 - INFO - Logging to another terminal in Windows!
2025-02-10 17:09:54,518 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:54,560 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:54,619 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:54,660 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:54,719 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:54,760 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:54,818 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:54,858 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:54,908 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:54,958 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,008 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,058 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,109 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,158 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,209 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,258 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,308 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,358 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,407 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,467 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,507 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,567 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,617 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,667 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,707 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,757 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,807 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,857 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,916 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:55,966 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,016 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,057 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,106 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,156 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,206 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,256 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,305 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,356 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,406 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,466 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,506 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
